state,zipcode,count,type,retailer
AL,35094,140,00069236210,cvs
AL,35173,140,00069236210,cvs
AL,35235,420,00069236210,cvs
AL,35215,140,00069236210,cvs
AL,35125,140,00069236210,cvs
AL,35126,140,00069236210,cvs
AL,35242,420,00069236210,cvs
AL,35068,280,00069236210,cvs
AL,35222,140,00069236210,cvs
AL,35209,420,00069236210,cvs
AL,35071,140,00069236210,cvs
AL,35216,140,00069236210,cvs
AL,35211,140,00069236210,cvs
AL,35208,140,00069236210,cvs
AL,35044,140,00069236210,cvs
AL,35180,140,00069236210,cvs
AL,35121,140,00069236210,cvs
AL,35160,140,00069236210,cvs
AL,35226,280,00069236210,cvs
AL,35124,280,00069236210,cvs
AL,35004,140,80777010293,cvs
AL,35210,140,80777010293,cvs
AL,35213,140,80777010293,cvs
AL,35243,280,80777010293,cvs
AL,35205,140,80777010293,cvs
AL,35244,280,80777010293,cvs
AL,35127,140,00069236210,cvs
AL,35228,140,00069236210,cvs
AL,35020,140,00069236210,cvs
AL,35111,140,00069236210,cvs
AL,35023,140,80777010293,cvs
AL,35080,140,00069236210,cvs
AL,35007,140,00069236210,cvs
